rxns	rxnNames	FV_GEM	FV_ecModel
EX_for_e	Formate exchange	999.382492289167	0.000869466668790397
EX_gly_e	Glycine exchange	2000	0.0693135478477289
EX_lys__L_e	L-Lysine exchange	998.209036274093	0.0459415499397494
EX_ser__L_e	L-Serine exchange	1000	0.0115090217951295
EX_thm_e	Thiamin exchange	1000	0.0188152503378953
EX_trp__L_e	L-Tryptophan exchange	999.976061060347	0.0105217498320804
EX_din_e	Deoxyinosine exchange	1999.42280173733	0.012171592714144
EX_acald_e	Acetaldehyde exchange	1000	0.0297404880481538
EX_sucr_e	Sucrose exchange	998.318486769424	0.0804396060966468
EX_tre_e	Trehalose exchange	1000	0.011145880804591
EX_zn2_e	Zinc exchange	998.209036274093	0.0104759068925802
DNMPPA	Dihydroneopterin monophosphate dephosphorylase	1000	1.75849523700996
HEX4	Hexokinase (D-mannose:ATP)	55.97711382625	1.71055634869653e-05
URIC	Uricase	524.240852375935	0.00281518649052814
EX_tmao_e	Trimethylamine N-oxide exchange	437.977814094254	0.00123359439191387
EX_26dap__M_e	Meso-2,6-Diaminoheptanedioate exchange	671.095830535448	0.00636801271724263
EX_acnam_e	N-Acetylneuraminate exchange	250.825067665805	0.00497510713858365
EX_amp_e	AMP exchange	191.610054624315	0
EX_dha_e	Dihydroxyacetone exchange	191.610054624315	0.00058633953903877
EX_fuc__L_e	L-Fucose exchange	250.825067665807	0.00497510713849483
EX_rmn_e	L-Rhamnose exchange	191.610054624315	0.00058633953903877
EX_glyclt_e	Glycolate exchange	1999.99077579507	0.0239741311585445
EX_indole_e	Indole exchange	7.93794470155262e-08	1999.99920628534
EX_galur_e	D-Galacturonate exchange	545.278102698963	7.39956475253878e-05
EX_but_e	Butyrate (n-C4:0) exchange	1824.08217686294	0.151965790276122
EX_cbl1_e	Cob(I)alamin exchange	2000	0.0116244188127229
EX_gbbtn_e	Gamma-butyrobetaine exchange	1000	0.0219835989704222
EX_malttr_e	Maltotriose exchange	2000	0.229641850534421
EX_hdcea_e	Hexadecenoate (n-C16:1) exchange	1490.918462333	0.185826202978816
AOBUTDs	L-2-amino-3-oxobutanoate decarboxylation (spontaneous)	1000	0.171479545635904
EX_nmn_e	NMN exchange	1666.22140499273	0.0368301794862572
EX_urea_e	Urea exchange	1412.00195100804	0.0146644206991356
EX_f6p_e	D-fructose 6-phosphate exchange	911.892700377186	0.0168621645153709
EX_lac__D_e	D-lactate exchange	999.100605847403	0.00144007864118027
EX_ttdcea_e	Tetradecenoate (n-C14:1) exchange	1000	1.32492729100435
EX_h2s_e	Hydrogen sulfide exchange	1000	0.165691869598468
EX_maltpt_e	Maltopentaose exchange	49.4264397597719	2.90720085142809e-05
EX_glcur_e	D-Glucuronate exchange	998.209036274094	0.00394487640561703
EX_mmet_e	S-Methyl-L-methionine exchange	998.209036274093	0.00394487640534824
EX_mg2_e	Mg exchange	998.209036274095	0.00328738745604309
G5SADs	L-glutamate 5-semialdehyde dehydratase (spontaneous)	1998.20903627409	0.0146444503895074
H2SO	Hydrogen sulfide oxidation	1998.22406401496	0.0124072344209394
EX_acac_e	Acetoacetate exchange	1267.168285698	0.0124072344212193
EX_adn_e	Adenosine exchange	700.560381936749	0.000196399046403756
EX_ins_e	Inosine exchange	999.857995717005	0.000711514256929835
EX_glyc3p_e	Glycerol 3-phosphate exchange	1159.39884255632	0.001878278309527
EX_lcts_e	Lactose exchange	999.860308516534	0.0245722510288849
EX_nac_e	Nicotinate exchange	1000	0.0254874421854555
EX_ocdca_e	Octadecanoate (n-C18:0) exchange	999.797911172391	0.0294078634416629
FTHFLi	Formate-tetrahydrofolate ligase	1000	0.251406452311302
EX_dad_2_e	Deoxyadenosine exchange	88.3898269062093	3.47905399104958e-05
EX_ser__D_e	D-Serine exchange	437.977814094254	0.00123359439187301
EX_gam6p_e	D-Glucosamine 6-phosphate exchange	1999.42280173733	0.0163572724318145
EX_15dap_e	1,5-Diaminopentane exchange	578.58419922699	0.000903397794807304
EX_ocdcea_e	Octadecenoate (n-C18:1) exchange	176.779653812419	6.95810798297401e-05
EX_cynt_e	Cyanate exchange	437.977814094254	0.00123359439191387
EX_galctn__D_e	D-Galactonate exchange	1000	0.0222147777979342
EX_glyb_e	Glycine betaine exchange	1000	0.00691779014244931
NMNt7pp	NMN transport via NMN glycohydrolase (periplasm)	1000	0.0268420563925283
GLUtex	L-glutamate transport via diffusion (extracellular to periplasm)	1000	0.0268420563893579
GLYALDtex	Glyceraldehyde transport via diffusion (extracellular to periplasm)	2000	0.161137779721541
GLYBtex	Glycine betaine transport via diffusion (extracellular to periplasm)	2000	0.176161507026066
12PPDStex	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	6.31818702703248e-09	1.86560455499557e-09
DDGLCNtex	2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm)	27.9885569131251	8.5526370005376e-06
26DAHtex	Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)	27.9885569131251	8.5526370005376e-06
HCINNMtex	3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm)	27.9885569131251	8.5526370005376e-06
SUCCt2_2pp	Succinate transport via proton symport (2 H) (periplasm)	998.209036274093	0.00387276356611466
SUCFUMtpp	Succinate:fumarate antiporter (periplasm)	998.209036274092	0.00390030049014797
TARTRt7pp	Tartrate/succinate antiporter (periplasm)	998.209036274095	0.00245550729285382
THMDt2pp_copy1		998.209036274092	0.00283964305950487
EX_ca2_e	Calcium exchange	524.240852375935	0.00281518649058088
EX_so3_e	Sulfite exchange	252.774039869477	0.000209200271971022
Kt2pp	Potassium transport in via proton symport (periplasm)	252.774039869477	0.000209200271972687
AKGt2rpp	2-oxoglutarate reversible transport via symport (periplasm)	1999.99077579507	0.0331983360841429
XYLt2pp	D-xylose transport in via proton symport (periplasm)	1998.20903627409	0.00694155756008541
EX_ascb__L_e	L-Ascorbate exchange	998.318486769428	0.00107682452596883
EX_ala_B_e	Beta-Alanine exchange	1998.20903627409	0.00784935504354911
EX_agm_e	Agmatine exchange	1000	0.00367686756210517
EX_minohp_e	Myo-Inositol hexakisphosphate exchange	999.116122337318	0.00367693462730138
EX_ppt_e	Phosphonate exchange	998.209036274096	0.00367693462742353
EX_hxa_e	Hexanoate (n-C6:0) exchange	267.370374525603	0.00063067148268298
EX_lyx__L_e	L-Lyxose exchange	1000	0.00452892928138038
EX_acmum_e	N-Acetylmuramate exchange	7.74269414138828e-08	3.77942384056614e-08
EX_dca_e	Decanoate (n-C10:0) exchange	1000	0.000542873694555357
EX_all__D_e	D-Allose exchange	993.353343869151	2.52863300582885
EX_octa_e	Octanoate (n-C8:0) exchange	1000	0.171479545635904
EX_xylu__L_e	L-Xylulose exchange	250.825067665805	0.00497510713924687
EX_gdp_e	GDP exchange	2000	0.0207424744428762
EX_gtp_e	GTP exchange	1998.31848676942	0.0103804248687755
THRabcpp	L-threonine transport via ABC system (periplasm)	1998.06934479063	0.00608553149096682
TYRt2rpp	L-tyrosine reversible transport via proton symport (periplasm)	671.095830535448	0.00636801271724263
URIt2pp_copy1		524.240852375935	0.00281518649063578
XTSNt2rpp	Xanthosine transport via proton symport (periplasm)	1000	0.00511340881837709
XYLUt2pp	L-xylulose transport in via proton symport (periplasm)	1000	0.026698872918819
THRt4pp	L-threonine  via sodium symport (periplasm)	1000	5.00266349944859
EX_fruur_e	D-Fructuronate exchange	2000	6.14947814697219
GALtex	D-galactose transport via diffusion (extracellular to periplasm)	2000	0.144576722069142
GALCTtex	D-galactarte transport via diffusion (extracellular to periplasm)	1000	0.000250143714250584
GALCTNtex	D-galactonate transport via diffusion (extracellular to periplasm)	1000	0.00872548436486664
GALTtex	Galactitol transport via diffusion (extracellular to periplasm)	0.000384299073402872	0.000384236433117346
ASPt2_2pp	Aspartate transport via proton symport (2 H) (periplasm)	382.100818169186	6.0170069124189e-05
ASPt2_3pp	L-asparate transport via proton symport (3 H) (periplasm)	998.209036274093	0.0104759068925802
HIStex	L-histidine transport via diffusion (extracellular to periplasm)	998.209036274093	0.0205694537906753
INSTtex	Inositol transport via diffusion (extracellular to periplasm)	139.252438135034	4.85083906076184e-05
INStex	Inosine transport via diffusion (extracellular to periplasm)	390.749221991685	2.53681135689854e-05
D_LACtex	D-lactate transport via diffusion (extracellular to periplasm)	503.147740735579	0.000159309471672475
FRULYStex	Fructoselysine transporter via diffusion (extracellular)	736.433844053318	0.000244987028777149
EX_fad_e	Exchange of Flavin adenine dinucleotide oxidized	139.252438135034	4.85083906076184e-05
GALCTt2rpp	D-galactarte transport via proton symport, reversible (periplasm)	382.100818169186	6.01700691254797e-05
GALt2pp	D-galactose transport in via proton symport (periplasm)	55.9771138262501	1.71055634858273e-05
ASPtex	L-aspartate transport via diffusion (extracellular to periplasm)	1000	0.0251067536355079
EX_fe3dcit_e	Fe(III)dicitrate exchange	548.888444438825	0.000471958600455111
EX_fe3hox_e	Fe(III)hydroxamate exchange	548.888444438825	0.000471958600472909
EX_fecrm_e	Ferrichrome exchange	274.444222219412	0.000235979300237332
EX_feenter_e	Fe-enterobactin exchange	232.222034185657	0.000125600679417373
EX_feoxam_e	Ferroxamine exchange	51.0854542658597	2.21320494965122e-05
EX_cpgn_e	Coprogen exchange	999.698126536529	5.87796336226701e-05
INDOLEtex	Indole transport via diffusion (extracellular to periplasm)	1000	0.000767114730279722
ADEt2rpp	Adenine transport via proton symport (reversible) (periplasm)	3.91727326132241e-08	1999.99960831158
ADNt2pp_copy1		686.400762566019	0.00016736496398112
ALAabcpp	L-alanine transport via ABC system (periplasm)	7.68521294935987e-08	3.7370849890713e-08
ALLTNt2rpp	Allantoin transport in via proton symport (periplasm)	7.68521294935987e-08	3.7370849890713e-08
GUAtpp	Guanine transport via diffusion (periplasm)	7.74269414138828e-08	3.77942384056614e-08
HYXNtpp	Hypoxanthine transport (periplasm)	1000	0.173181340814267
NACtpp	Nicotinic acid uptake (periplasm)	2.74439069210004e-07	1.34055850833665e-07
CPGNtonex	Coprogen transport via ton system (extracellular)	2.56173348805761e-08	7.49082274242299e-09
GLCNtex	D-gluconate transport via diffusion (extracellular to periplasm)	1846.36988633068	0.00107186731716585
GLCURtex	D-glucuronat transport via diffusion (extracellular to periplasm)	578.774182470174	0.190885960949477
GLNtex	L-glutamine transport via diffusion (extracellular to periplasm)	1000	0.0291929498543484
O2tex	Oxygen transport via diffusion (extracellular to periplasm)	1000	0.00310718231494178
EX_ppa_e	Propionate exchange	999.382492289167	0.000771791619469719
OCTAtex	Octanoate transport via diffusion (extracellular to periplasm)	994.28137877173	0.00077179161944585
ORNtex	Ornithine transport via diffusion (extracellular to periplasm)	998.318486769425	0.0804396060966468
CITt7pp	Citrate transport via succinate antiport (periplasm)	1000	0.000776891406833569
CRNt7pp	Carnitine/butyrobetaine antiporter (periplasm)	998.318486769424	0.089669878942086
EX_ni2_e	Ni2+ exchange	1000	0.0189894796296893
EX_no_e	Nitric oxide exchange	671.095830535448	0.00636801271761267
DGSNt2pp	Deoxyguanosine transport in via proton symport (periplasm)	437.977814094254	0.0012335943919061
DINSt2pp	Deoxyinosine transport in via proton symport (periplasm)	999.698126536529	7.23505484534551e-05
DURIt2pp	Deoxyuridine transport in via proton symport (periplasm)	999.999743277529	0.024825525581048
FE2abcpp	Iron (II) transport via ABC system (periplasm)	1193.89233216325	0.00112878874061562
FUMt2_2pp	Fumarate transport via proton symport (2 H) (periplasm)	193.89233216325	0.000369993199785274
FUMt2_3pp	Fumarate transport via proton symport (3 H) (periplasm)	193.89233216325	0.000369993199742044
CYNTt2pp	Cyanate transport via proton symport (periplasm)	1000	0.0279923588997164
CYTDt2pp_copy1		1000	0.00107199059736122
DADNt2pp	Deoxyadenosine transport in via proton symport (periplasm)	1000	0.00452892928113538
DCYTt2pp	Deoxycytidine transport in via proton symport (periplasm)	1000	0.0093036003424712
RMNtex	L-rhamnose transport via diffusion (extracellular to periplasm)	1000	0.00221433674594707
EX_meoh_e	Methanol exchange	1000	0.000250143714250584
MALTTRtexi	Maltotriose transport via diffusion (extracellular to periplasm) irreversible	545.278102698963	7.39956475059034e-05
MALTTTRtexi	MaltotetraoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible	817.139216340641	0.000888178979462251
MALTPTtexi	MaltopentaoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible	817.139216340641	0.00088817897941823
MALTtexi	MaltoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible	367.870966786058	8.0256782360677e-05
FE3DCITtonex	Ferric-dicitrate transport via ton system (extracellular)	0.000128399747583648	2.08114471114532e-06
PHEtex	L-phenylalanine transport via diffusion (extracellular to periplasm)	2.74439069210004e-07	1.34055850825642e-07
PItex	Phosphate transport via diffusion (extracellular to periplasm)	2.74439069210004e-07	1.34055850825642e-07
CYSabc2pp	L-cysteine export via ABC system (cytoplasm to periplasm)	2000	0.181696502752473
EX_pheme_e	Protoheme exchange	1000	0.0189894796298429
PNTOtex	Pantothenate transport via diffusion (extracellular to periplasm)	999.382492289167	0.000798540591363732
PPPNtex	3-phenylpropionate transport via diffusion (extracellular to periplasm)	998.906824892056	0.00219388169807241
PPTtex	Phosphonate transport via diffusion (extracellular to periplasm)	999.100605847406	0.00126447470668185
SERtex	L-serine transport via diffusion (extracellular to periplasm)	998.209036274095	0.00318583749778867
SUCRtex	Sucrose transport transport via diffusion (extracellular to periplasm)	1000	0.0297404880469215
METtex	L-methionine transport via diffusion (extracellular to periplasm)	1000	0.00221433674590355
MNLtex	Mannitol transport via diffusion (extracellular to periplasm)	88.3898269062093	3.47905399104958e-05
NAtex	Sodium transport via diffusion (extracellular to periplasm)	252.77403986948	0.000187062750713146
NACtex	Nicotinic acid transport via diffusion (extracellular to periplasm)	628.048092128094	0.000262334883666504
NH4tex	Ammonia transport via diffusion (extracellular to periplasm)	2000	0.16323730977933
BUTtex	Butyrate transport via diffusion (extracellular to periplasm)	1999.92015299405	0.034156413906637
CYTDtex	Cytidine transport via diffusion (extracellular to periplasm)	583.787486091675	0.000399882555896328
DGSNtex	Deoxyguanosine transport via diffusion (extracellular to periplasm)	199.939625307305	1.16545417152558e-05
LCTStex	Lactose transport via diffusion (extracellular to periplasm)	27.9885569131253	8.55263700041096e-06
LEUtex	L-leucine transport via diffusion (extracellular to periplasm)	27.9885569131253	8.55263700041096e-06
MAN6Ptex	Mannose 6-phosphate transport via diffusion (extracellular to periplasm)	2.61687699553217e-07	1.27528467224781e-07
MELIBtex	Melibiose transport via diffusion (extracellular to periplasm)	577.942321827063	0.000109341339680935
DMSOtex	Dimethyl sulfoxide transport via diffusion (extracellular to periplasm)	514.296353744402	0.000132019271825698
DURItex	Deoxyuridine transport via diffusion (extracellular to periplasm)	998.209036274091	0.000197858038023191
EX_mal__D_e	D-Malate exchange	431.060196002387	0.00245944020298575
NMNtex	NMN transport via diffusion (extracellular to periplasm)	1000	0.0035993666995473
NO2tex	Nitrite transport via diffusion (extracellular to periplasm)	998.209036274092	0
BUTt2rpp	Butyrate transport via proton symport, reversible (periplasm)	998.209036274093	0.00301996663714377
CADVtpp	Lysine/Cadaverine antiporter (periplasm)	2000	1.05097795175499
GDPtex	GDP transport via diffusion (extracellular to periplasm)	2.56173764899515e-08	7.54601209629661e-09
TYRtex	L-tyrosine transport via diffusion (extracellular to periplasm)	998.209036274093	0.000197858038051391
URAtex	Uracil transport via diffusion (extracellular to periplasm)	998.209036274092	0.000255883199695536
UREAtex	Urea transport via diffusion (extracellular to periplasm)	998.20903627409	0.000255883199686127
EX_eca4colipa_e	(enterobacterial common antigen)x4 core oligosaccharide lipid A exchange	1000	2.40918109030282
EX_sel_e	Selenate exchange	499.104518137046	0.00155513425504068
O16GLCT1	Glucosyltransferase I (LPS O16 antigen biosynthesis)	51.0854542658596	2.21320494941836e-05
ARBTNtpp	Aerobactin secretion (to periplasm)	1000	0.00778947078457087
ARBTNtex	Aerobactin secretion (to extracellular)	998.209036274099	0.006504389332883
23CCMPtex	23cCMP transport via diffusion (extracellular to periplasm)	51.0854542658596	2.21320494941836e-05
23CUMPtex	23cUMP transport via diffusion (extracellular to periplasm)	51.0854542658596	2.21320494941836e-05
3CMPtex	3CMP transport via diffusion (extracellular to periplasm)	51.0854542658596	2.21320494942374e-05
FEENTERtpp	Enterochelin transport (secretion)	998.209036274093	0.00318583749775081
FEENTERtex	Enterochelin transport (secretion periplasm)	274.444222219411	0.000258111349729308
FEOXAMUtpp	Ferroxamine (minus Fe3) secretion (to periplasm)	1998.99665162511	0.0279941194104823
FECRMUtpp	Ferrichrome (minus Fe) secretion (to periplasm)	1997.3096421215	0.0110568522092498
PTRCt2pp	Putrescine transport in via proton symport	817.139216340641	0.000888179031704628
ETHSO3tex	Ethanesulfonate transport via diffusion (extracellular to periplasm)	817.139216340641	0.000888178979438103
FE3HOXR3	Fe(III)hydroxamate reductase	63.8568178323245	2.7665061871244e-05
FEENTERR1	Fe-enterobactin reduction (Fe(III)-unloading)	63.8568178323245	2.7665061871244e-05
SULFACtex	Sulfoaceate transport via diffusion (extracellular to periplasm)	12.7713635664649	5.53291873667261e-06
EX_sulfac_e	Sulfoacetate exchange	12.7713635664649	5.53291873667261e-06
EX_butso3_e	Butanesulfonate exchange	1000	0.00631362934898461
NOtex	Nitric oxide transport via diffusion (extracellular to periplasm)	274.444222219412	0.000235979300237332
NOtpp	NO transport (diffusion)	1997.32515861141	0.011056852207951
N2Otpp	Nitrious oxide transport (diffusion)	1000	0.00145006103399448
N2Otex	Nitrious oxide transport via diffusion (extracellular to periplasm)	1998.31848676943	0.00622457130062282
CRNt8pp	L-carnitine/D-carnitine antiporter (periplasm)	1000	0.00104501603543383
CRNt2rpp	L-carnitine outward transport (H+ antiport)	51.0854542658596	2.21320494942374e-05
CRNDt2rpp	D-carnitine outward transport (H+ antiport)	51.0854542658596	2.21320494942374e-05
CTBTt2rpp	Cronobetaine outward transport (H+ antiport)	191.642700878011	0.00129828038539131
INOSTt4pp	Na+/myo-inositol symporter (periplasm)	998.209036274092	0.00940543182095943
PHEMEtiex	Protoheme transport irreversible out via diffusion (periplasm to extracellular)	332.736345424697	0.000205627729748941
CYANtex	Cyanide transport via diffusion (extracellular to periplasm)	1999.7707778471	1.30386399665869
SO3tex	Sulfite transport via diffusion (extracellular to periplasm)	2000	1.17010439473108
TCYNTtex	Thiocyanate transport via diffusion (extracellular to periplasm)	1998.20903627409	1.08108592024618
METSOX2abcpp	L-methionine R-oxide transport via ABC system (periplasm)	47.7626022711489	7.52113135507593e-06
METSOX1tex	L-methionine S-oxide diffusion (extracellular)	2.56173348805761e-08	7.49082274242299e-09
METSOX2tex	L-methionine R-oxide diffusion (extracellular)	7.74269414138828e-08	3.77942384056614e-08
3UMPtex	3UMP transport via diffusion (extracellular to periplasm)	7.74269414138828e-08	3.77942384056614e-08
FALDtpp	Formaldehyde transport via diffusion (periplasm)	55.9771138262501	1.71055634858273e-05
EX_tym_e	Tyramine exchange	55.9771138262501	1.71055634858273e-05
EX_imp_e	IMP exchange	503.147740735586	0.000159309471668617
DOPAtex	Dopamine transport via diffusion (extracellular to periplasm)	503.147740735586	0.000159309471668617
ETHAtex	Ethanolamine transport via diffusion (extracellular)	1000	0.000469500349073448
G3PStex	Glycerophosphserine transport via diffusion (extracellular to periplasm)	1000	0.000469500349073448
FEENTERR2	Fe-enterobactin reduction (Fe(III)-unloading)	499.104518137047	0.000899295129213828
FE3HOXexs	Fe(III) hydroxamate Fe-loading reaction (spontaneaous)	1998.06934479063	0.00676648543911067
FECRMR3	Ferrichrome reductase	998.209036274096	0.0103317534792224
ACGAL1Ptex	N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm)	2000	1.60472933525252
ACGALtex	N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm)	1000	0.000445879712643402
GLCUR1Ptex	D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm)	1000	0.0222147778007388
ISETACtex	Isethionate transport via diffusion (extracellular to periplasm)	823.332666658238	0.000178023223635416
UACGAMtex	UDP-N-acetyl-D-glucosamine transport via diffusion (extracellular to periplasm)	1000	0.00194698064448302
MSO3tex	Methanesulfonate transport via diffusion (extracellular to periplasm)	1000	0.0938622961009884
FECRMR1	Ferrichrome reductase	509.922474891101	0.00764938331932994
AGM3Pt2pp	GlcNAc-anhMurNAc tripeptide transport in via proton symport (periplasm)	998.348727757561	0.00246006858162595
AGMt2pp	GlcNAc-anhMurNAc transport in via proton symport (periplasm)	1000	0.00310923216850156
ARBTNR1	Aerobactin reductase	163.961752084908	0.000186637574651322
ARBTNR2	Aerobactin reductase	163.961752084908	0.000186637574651322
ARBTNR3	Aerobactin reductase	1000	0.0247814373576318
FEOXAMexs	Ferroxamine Fe3-loading reaction (spontaneous)	999.797911172392	0.0416627431406858
FEOXAMR2	Ferroxamine reductase	1000	0.00617401739016188
FEOXAMR3	Ferroxamine reductase	998.20903627409	0.0024437535211449
AGt3	Silver transport out via proton antiport	999.100605847405	0.00126447470660072
CD2t3pp	Cadmium (Cd+2) transport out via proton antiport (periplasm)	1000	0.0109643746799392
SKMt2pp	Shikimate transport in via proton symport (periplasm)	1000	0.0283710668965432
FE2t2pp	Iron (II) transport in via proton symport (periplasm)	274.444222219411	0.000235979300232003
GLYC2Ptex	Glycerol-2-phosphate transport via diffusion (extracellular to periplasm)	274.444222219411	0.000235979300232003
R5Ptex	Ribose 5-phosphate transport via diffusion (extracellular to periplasm)	2000	0.062205306288897
THRPtex	Phospho-L-threonine transport via diffusion (extracellular to periplasm)	51.0854542658596	2.21320494942374e-05
TYRPtex	Phopho-L-tyrosine transport via diffusion (extracellular to periplasm)	51.0854542658596	2.21320494942374e-05
CPGNR2	Coprogen(Fe(III)) reductase	1996.07163007281	0.0550784653656187
CPGNR3	Coprogen(Fe(III)) reductase	1000	0.0775628584448044
CPGNUtpp	Coprogen unloaded secretion	1000	0.00109758109343261
CPGNUtex	Coprogen unloaded secretion (extracellular)	1000	0.19823411763348
CPGNexs	Coprogen Fe-loading reaction (spontaneaous)	736.433844053318	0.000244987028768268
ACGAtex	N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm)	998.318486769425	0.00107682452593094
DDCAtexi	Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm)	998.318486769424	0.00394487640561703
HDCAtexi	Hexadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm)	548.888444438826	0.000471958600485323
GUACYC	Guanylate cyclase	998.209036274094	0.00222344014107759
ATPHs	ATP amine hydrolysis (spontaneous)	998.347479753246	0.00419009737096479
GTPHs	GTP amine hydrolysis (spontaneous)	578.584199226988	0.000903397794823763
EX_cd2_e	Cadmium exchange	0.00137233256559952	0.00137218624444433
IDONt2rpp	L-idonate transport via proton symport, reversible (periplasm)	999.698126536529	7.23505484481815e-05
ILEabcpp	L-isoleucine transport via ABC system (periplasm)	0.00137233256559952	0.00137219081629673
INDOLEt2pp	Indole transport via proton symport, irreversible (periplasm)	431.060196002387	0.00245944020310018
INSt2pp	Inosine transport in via proton symport (periplasm)	431.060196002387	0.00245944020267408
LYXt2pp	L-Lyxose transport via proton symport (periplasm)	998.318486769434	0.00286470854961118
OCDCAtexi	Octadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm)	431.060196002387	0.00245944020284283
OCDCEAtexi	Octadecenoate (n-C18:1) transport via facilitated irreversible diffusion (extracellular to periplasm)	998.318486769434	0.00286470854961118
G6Ptex	Glucose 6-phosphate transport via diffusion (extracellular to periplasm)	240.166898102219	0.000156100116438074
MOBDtex	Molybdate transport via diffusion (extracellular to periplasm)	236.211003081233	0.00497510713815016
NI2tex	Nickel transport via diffusion (extracellular to periplasm)	250.825067665805	0.00497510713915922
R1PK	Ribose 1-phosphokinase	499.104518137047	0.00144656548532612
LEUabcpp	L-leucine transport via ABC system (periplasm)	332.736345424699	0.000205627729736424
L_LACt2rpp	L-lactate reversible transport via proton symport (periplasm)	999.873042984864	0.00101216939240362
MAN6Pt6_2pp	Mannose-6-phosphate transport via phosphate antiport (periplasm)	51.0854542658596	2.21320494941836e-05
MELIBt2pp	Melibiose transport in via symport (periplasm)	1000	0.000834861888301064
EX_fe3hox_un_e	Fe(III)hydoxamate, unloaded exchange	998.209036274093	0.00238236881530104
NAt3_2pp	Sodium proton antiporter (H:NA is 2) (periplasm)	332.736345424697	0.000205627729748941
NO2t2rpp	Nitrite transport in via proton symport, reversible (periplasm)	1999.92015299405	0.046046657110383
FECRMtonex	Ferrichrome transport via ton system (extracellular)	1000	0.302518527903906
ARBTNtonex	Aerobactin transport via ton system (extracellular)	998.209036274094	0.00318583749775081
EX_enter_e	Enterochelin exchange	55.9771138262502	1.71055634858273e-05
EX_fecrm_un_e	Ferrichrome minus Fe(III) exchange	232.222034185657	0.000125600679418129
EX_cgly_e	Cys-Gly exchange	232.222034185657	0.000125600679418129
EX_chtbs_e	Chitobiose exchange	232.222034185657	0.000125600679418129
