rxns	rxnNames	grRules	subSystems	Std_GEM	Std_ecM	Std_ecP	HiT_GEM	HiT_ecM	HiT_ecP	LpH_GEM	LpH_ecM	LpH_ecP	Osm_GEM	Osm_ecM	Osm_ecP
r_0014	ethanol:NAD+ oxidoreductase	KLMA_40102 or KLMA_40220 or KLMA_80306 or KLMA_20158 or KLMA_20005 or KLMA_50315 or KLMA_40624	Glycolysis / Gluconeogenesis	-0	0	0	-0	0	0	-0	0	0	-0	0	0
r_0015	alcohol dehydrogenase (ethanol to acetaldehyde)	KLMA_40220	Glycolysis / Gluconeogenesis	0	-0	0	0	-0	0	0	0	0	0	0	0
r_0016	alcohol acetyltransferase (ethanol)	KLMA_30203	Glycolysis / Gluconeogenesis	-0	0	0	-0	0	0	-0	0	0	-0	0	0
r_0017	ethyl acetate-hydrolyzing esterase	KLMA_20604	Glycolysis / Gluconeogenesis	0	-0	-0	0	-0	-0	0	-0	-0	0	-0	-0
r_0018	2-(alpha-hydroxyethyl)thiamine diphosphate[c]=>acetaldehyde[c]+TDP[c]	KLMA_60075	Glycolysis / Gluconeogenesis	-0	0	0	0	0	0	0	0	0	0	0	0
r_0019	alpha-D-Glucose 1-phosphate 1,6-phosphomutase	KLMA_80051	Glycolysis / Gluconeogenesis	0.972647472245119	1.03331062207055	1.002795774948	1.80744695269748	1.84747154728225	1.789350774948	1.21124695269748	1.28584354728225	0.171064402828472	1.28004695269748	1.35533154728225	1.37823679153453
r_0020	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	KLMA_40125	Glycolysis / Gluconeogenesis	-0.852407387780893	-0.921787389187195	-0.0835694079124386	-1.70086625523714	-1.70864511975358	-1.68090042239595	-1.10466625523714	-1.18864128590937	-0.637467565950669	-1.17346625523714	-1.25812928590936	-1.28616303572757
r_0021	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)	KLMA_80059 or KLMA_40218 or KLMA_20296	Glycolysis / Gluconeogenesis	1.69004948153397	1.82160932822361	0.96788138072165	3.38864456777445	3.37350751993892	3.34738003092214	2.19624456777445	2.37123944547331	1.80967813088303	2.33384456777444	2.5102154454733	2.5438691349265
r_0022	beta-D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)	KLMA_40388	Glycolysis / Gluconeogenesis	0.854283252794614	0	0.0852157098717186	1.70252902021601	1.7098506489894	1.68254672435523	1.10632902021601	1.18984681514519	0.639212233592779	1.17512902021601	1.25933481514518	1.28708001438482
r_0023	ATP:3-phospho-D-glycerate 1-phosphotransferase	KLMA_10540	Glycolysis / Gluconeogenesis	-1.69004948153397	-1.82160932822361	-0.96788138072165	-3.38864456777445	-3.37350751993892	-3.34738003092214	-2.19624456777445	-2.37123944547331	-1.80967813088303	-2.33384456777444	-2.5102154454733	-2.5438691349265
r_0024	2-Phospho-D-glycerate 2,3-phosphomutase	KLMA_40124 or KLMA_20098 or KLMA_10182 or KLMA_10305	Glycolysis / Gluconeogenesis	-1.69004948153397	-1.82160932822361	-0.96788138072165	-3.38864456777445	-3.37350751993892	-3.34738003092214	-2.19624456777445	-2.37123944547331	-1.80967813088303	-2.33384456777444	-2.5102154454733	-2.5438691349265
r_0025	ATP:beta-D-glucose 6-phosphotransferase	KLMA_10051	Glycolysis / Gluconeogenesis	0	0	0	0	-0	0	0	0	1.11480410596465	0	0	0
r_0026	D-Glucose 1-epimerase	KLMA_20332	Glycolysis / Gluconeogenesis	0	0	0	0	0	0	0	0	1.11480410596465	0	0	0
r_0027	ATP:alpha-D-glucose 6-phosphotransferase	KLMA_60412	Glycolysis / Gluconeogenesis	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
r_0028	acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase	KLMA_60529	Glycolysis / Gluconeogenesis	0	0	0	0	0	0	0	0	0	0	0	0
r_0029	alpha-D-Glucose 6-phosphate ketol-isomerase	KLMA_30562 or KLMA_10763	Glycolysis / Gluconeogenesis	0	0	2.44110277201657	0	0	0	0	0.0338550202898407	0.556317916689228	0	0.033855020289844	0.00164004183242294
r_0030	alpha-D-Glucose 6-phosphate ketol-isomerase	KLMA_10763	Glycolysis / Gluconeogenesis	0.972647472245119	1.03069763135693	-1.43830699706857	1.80744695269748	1.84747154728225	1.789350774948	1.21124695269748	1.25198852699241	-0.385253513860756	1.28004695269748	1.32147652699241	1.37659674970211
r_0031	2-(alpha-hydroxyethyl)thiamine diphosphate[m]+enzyme N6-(lipoyl)lysine[m]=>[dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine[m]+TDP[m]	KLMA_20278 and KLMA_20172	Glycolysis / Gluconeogenesis	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
r_0032	ATP:D-fructose-6-phosphate 1-phosphotransferase	KLMA_60461 and KLMA_10341	Glycolysis / Gluconeogenesis	0.854283252794614	0.923315539517558	0.0852157098717186	1.70252902021601	1.7098506489894	1.68254672435523	1.10632902021601	1.18984681514519	0.639212233592779	1.17512902021601	1.25933481514518	1.28708001438482
r_0033	beta-D-Fructose 1,6-bisphosphate 1-phosphohydrolase	KLMA_60452	Glycolysis / Gluconeogenesis	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
r_0034	enzyme N6-(dihydrolipoyl)lysine:NAD+ oxidoreductase	KLMA_60420	Glycolysis / Gluconeogenesis	1.00714221233374	1.02423416662387e-06	0.0310968654263799	7.9992e-07	0	7.92e-07	7.9992e-07	0.00121436182097849	0.0356970128338341	7.9992e-07	8.07999192e-07	7.92e-07
r_0035	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)	KLMA_40470 or KLMA_30149	Citrate cycle (TCA cycle)	0	0	0	0	0	0	0	0	0	0	0	0
r_0036	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)	KLMA_40470 or KLMA_30149	Citrate cycle (TCA cycle)	0	0	0	0	0	0	0	0	0	0	0	0
r_0037	(S)-malate:NAD+ oxidoreductase	KLMA_60167 or KLMA_40391 or KLMA_40055	Citrate cycle (TCA cycle)	0.119651355080357	1.14780719162128	0.161867389290378	2.88937452647345	0	0.0315875191504875	1.69698191932522	0.0193157442531442	0.355278095625863	1.8345810662232	0.0205292980749374	0.218409243667653
r_0038	(S)-malate:NAD+ oxidoreductase	KLMA_60167 or KLMA_40391 or KLMA_40055	Citrate cycle (TCA cycle)	1.01211043800935	0	0.0354570936965799	0.004404630472902	0.0286576293273139	0.00132017157048119	0.004404630472902	0.0105562468951556	0.0328273900948981	0.004404630472902	0.00812913925158261	0.0070587364653036
r_0039	Pyruvate:carbon-dioxide ligase (ADP-forming)	KLMA_10253	Citrate cycle (TCA cycle)	0.0791002545705791	0.136134836426209	0.0636019535881627	0.0701141214052829	0.120063998634583	0.0738938490365931	0.0701067285535049	0.120063998634579	0.0887940487911314	0.0701075816555261	0.120063998634576	0.110939642021035
r_0040	acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)	KLMA_20105 or KLMA_70444	Citrate cycle (TCA cycle)	-0	0	0	-0	0	0	-0	0	0	-0	0	0
r_0041	acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)	KLMA_20105 or KLMA_70444	Citrate cycle (TCA cycle)	1.14174406243669	1.17070105252703	0.200266914880978	2.90262716144055	0.0593879387495619	0.0417546537804	1.71022716144055	0.0606023005705404	0.386307886389181	1.84782716144054	0.0593887467487539	0.221613207939857
r_0042	Succinate:CoA ligase (ADP-forming)	KLMA_10336 and KLMA_20568	Citrate cycle (TCA cycle)	-0	-0	-0	-0	8.07999192e-07	-0	-0	-0	-0	-0	-0	-0
r_0043	Succinate:CoA ligase (GDP-forming)	KLMA_10336 and KLMA_20568	Citrate cycle (TCA cycle)	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
r_0044	2-oxoglutarate[m]+TDP[m]=>3-carboxy-1-hydroxypropyl-ThPP[m]+carbon dioxide[m]	KLMA_60541	Citrate cycle (TCA cycle)	1.00714221233374	1.02423416662387e-06	0.0310968654263799	7.9992e-07	0	7.92e-07	7.9992e-07	0.00121436182097849	0.0356970128338341	7.9992e-07	8.07999192e-07	7.92e-07
r_0045	Isocitrate:NAD+ oxidoreductase (decarboxylating)	KLMA_80139 or KLMA_20575	Citrate cycle (TCA cycle)	1.09571088482698	0	0.159867147340978	2.86182339622515	0	0	1.66942339622515	0	0.317197616000831	1.80702339622514	0	0.156217706136137
r_0046	Succinate:CoA ligase (IDP-forming)	KLMA_10336 and KLMA_20568	Citrate cycle (TCA cycle)	-1.00714130989595	0	-0.0310960734263799	0	0	0	0	-0.00121355382178649	-0.0356962208338341	0	0	0
r_0047	(S)-malate hydro-lyase (fumarate-forming)	KLMA_80028	Citrate cycle (TCA cycle)	-1.12162629147535	-1.13174676498215	-0.188702368567521	-2.8847947882352	-0.0286576293273139	-0.0329076907209687	-1.6923947882352	-0.0298719911482998	-0.375037524519727	-1.8299947882352	-0.02865843732652	-0.225467980132957
r_0048	citrate hydro-lyase (cis-aconitate-forming)	KLMA_10153 or KLMA_30312	Citrate cycle (TCA cycle)	1.14174406243669	1.17070105252703	0.200266914880978	2.90262716144055	0.0593879387495619	0.0417546537804	1.71022716144055	0.0606023005705404	0.386307886389181	1.84782716144054	0.0593887467487539	0.221613207939857
r_0049	Isocitrate:NADP+ oxidoreductase	KLMA_40470 or KLMA_30149	Citrate cycle (TCA cycle)	-0	0	0	-0	0	0	-0	0	0	-0	0	0
r_0050	Isocitrate:NADP+ oxidoreductase	KLMA_40470 or KLMA_30149	Citrate cycle (TCA cycle)	-0	0	0	-0	0	0	-0	0	0	-0	0	0
r_0051	isocitrate hydro-lyase (cis-aconitate-forming)	KLMA_10153 or KLMA_30312	Citrate cycle (TCA cycle)	-1.14174406243669	-1.17070105252703	-0.200266914880978	-2.90262716144055	-0.0593879387495619	-0.0417546537804	-1.71022716144055	-0.0606023005705404	-0.386307886389181	-1.84782716144054	-0.0593887467487539	-0.221613207939857
r_0052	Succinate:ubiquinone oxidoreductase	KLMA_80408 and KLMA_20466 and KLMA_50550 and KLMA_30124	Citrate cycle (TCA cycle)	1.10293375563406	1.10536868861204	0.166206103648783	2.86822574209603	0.00784845786232929	0.00769384254820485	1.67582574209603	0.00906281968330778	0.332746554925994	1.81342574209602	0.00784926586152129	0.161718993499135
r_0053	Succinate:ubiquinone oxidoreductase	KLMA_80408 and KLMA_20466 and KLMA_50550 and KLMA_30124	Citrate cycle (TCA cycle)	0	0	0	0	0	0	0	0	0	0	0	0
r_0054	succinyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-succinyltransferase	KLMA_50493	Citrate cycle (TCA cycle)	1.00714221233374	1.02423416662387e-06	0.0310968654263799	7.9992e-07	0	7.92e-07	7.9992e-07	0.00121436182097849	0.0356970128338341	7.9992e-07	8.07999192e-07	7.92e-07
r_0055	3-carboxy-1-hydroxypropyl-ThPP[m]+enzyme N6-(lipoyl)lysine[m]=>[dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine[m]+TDP[m]	KLMA_60541	Citrate cycle (TCA cycle)	1.00714221233374	1.02423416662387e-06	0.0310968654263799	7.9992e-07	-0	7.92e-07	7.9992e-07	0.00121436182097849	0.0356970128338341	7.9992e-07	8.07999192e-07	7.92e-07
r_0056	6-Phospho-D-glucono-1,5-lactone lactonohydrolase	KLMA_70192 or KLMA_10331	Pentose phosphate pathway	0	0	0	0	0	0	0	0	0	0	0	0
r_0057	ATP:D-ribose-5-phosphate diphosphotransferase	KLMA_40524 or KLMA_60320 or KLMA_80361 or KLMA_10176	Pentose phosphate pathway	-0	0	0.0276533544072249	-0	0	0.0259835733782316	-0	0	0.0450786694597515	-0	0	0.0538641440963583
r_0058	ATP:D-ribose 5-phosphotransferase	KLMA_10157	Pentose phosphate pathway	0	0	0	0	-0.0793637593786053	0	0	0	0	0	0	0
r_0059	D-ribose-5-phosphate aldose-ketose-isomerase	KLMA_80221	Pentose phosphate pathway	-0.0214448599842266	-0.0283563971140106	-0.832521422682281	-0.0190087036635255	-0.0752790046458103	-0.0217454081987713	-0.0190087036635251	-0.0336548384900227	-0.589976209134074	-0.0190087036635269	-0.033654838490026	-0.0436927833124709
r_0060	D-Ribose 1,5-phosphomutase	KLMA_30099 or KLMA_80051	Pentose phosphate pathway	-0.024568963984264	-0.0304614830152957	0.0060910707413368	-0.0217779065025458	-0.0240304946520323	3.39254293248159e-05	-0.0217779065025451	-0.0240304946520362	0.00550407387931596	-0.0217779065025478	-0.0240304946520395	0
r_0061	6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)	KLMA_10468	Pentose phosphate pathway	-0	0	2.44110277201657	-0	-0	0	-0	0.0338550202898407	1.67112202265388	-0	0.033855020289844	0.00164004183242294
r_0062	D-Ribulose-5-phosphate 3-epimerase	KLMA_60024	Pentose phosphate pathway	-0.021668438945053	-0.0286101511287916	1.60838513133429	-0.0192068838435255	-0.0754791864456283	-0.0219416261987713	-0.0192068838435251	0	1.08094959551981	-0.0192068838435269	0	-0.0422489594800479
r_0063	Sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase	KLMA_80302	Pentose phosphate pathway	0.00312410400003735	0.00210508590128518	-0.810959139016393	0.00276920283902027	0.0281152493848276	0.00420423975013562	0.00276920283902005	-0.00962434383798654	-0.550401613553638	0.00276920283902093	-0.00962434383798654	0.0101713607838875
r_0064	ATP:D-Gluconate 6-phosphotransferase	KLMA_60382	Pentose phosphate pathway	0	0	0	0	0	0	0	0	0	0	0	0
r_0065	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase	KLMA_30634	Pentose phosphate pathway	-0.00312410400003735	-0.00210508590128518	0.810959139016393	-0.00276920283902027	-0.0281152493848276	-0.00420423975013565	-0.00276920283902005	0.00962434383798654	0.550401613553638	-0.00276920283902093	0.00962434383798654	-0.0101713607838875
r_0066	beta-D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase	KLMA_80302	Pentose phosphate pathway	0.0185443349450157	0.0265050652275064	-0.790540967423893	0.0164376810045053	0.0473639370608007	0.0177373864486357	0.016437681004505	0.00962434383798654	-0.525965356583708	0.0164376810045059	0.00962434383798654	0.0320775986961605
r_0067	6-Phospho-D-glucono-1,5-lactone lactonohydrolase	KLMA_70192 or KLMA_10331	Pentose phosphate pathway	0	0	2.44110277201657	0	0	0	0	0.0338550202898407	1.67112202265388	0	0.033855020289844	0.00164004183242294
r_0068	beta-D-Glucose-6-phosphate:NADP+ 1-oxoreductase	KLMA_50631	Pentose phosphate pathway	0	-0	2.44110277201657	0	0	-0	0	0.0338550202898407	1.67112202265388	0	0.033855020289844	0.00164004183242294
r_0069	2-deoxy-D-ribose 5-phosphate[c]+ADP[c]=>2-deoxy-D-ribose[c]+ATP[c]	KLMA_10157	Pentose phosphate pathway	0	0	0	0	0	0	0	0	0	0	0	0
r_0070	2,5-dioxopentanoate:NADP+ 5-oxidoreductase	KLMA_20673 or KLMA_50012 or KLMA_40404 or KLMA_10742 or KLMA_20672	Pentose and glucuronate interconversions	0	0	0	0	0	0	0	0	0	0	0	0
r_0071	UTP:alpha-D-glucose-1-phosphate uridylyltransferase	KLMA_60317	Pentose and glucuronate interconversions	0.173064418641666	0.198156090545185	0.214172817356352	0.15340413745206	0.15690011317831	0.214085674023069	0.15340413745206	0.15690011317831	1.2572833416213	0.15340413745206	0.15690011317831	0.119270066067599
r_0072	Xylitol:NADP+ oxidoreductase	KLMA_10683	Pentose and glucuronate interconversions	0	0	0	0	0	0	0	0	0	0	0	0
r_0073	ATP:D-xylulose 5-phosphotransferase	KLMA_80066	Pentose and glucuronate interconversions	0	0	0	0	-0	0	0	0	0	0	0	0
r_0074	Xylitol:NAD+ 2-oxidoreductase (D-xylulose-forming)	KLMA_70044	Pentose and glucuronate interconversions	0	0	0	0	0	0	0	0	0	0	0	0
r_0075	Ribitol:NAD+ 2-oxidoreductase	KLMA_50296	Pentose and glucuronate interconversions	0	0	0	0	0	0	0	0	0	0	0	0
r_0076	L-Arabitol:NADP+ 1-oxidoreductase	KLMA_30577 or KLMA_40310	Pentose and glucuronate interconversions	0	0	0	0	0	0	0	0	0	0	0	0
r_0077	L-arabinitol:NAD+ 4-oxidoreductase (L-xylulose-forming)	KLMA_70044	Pentose and glucuronate interconversions	0	0	0	0	0	0	0	0	0	0	0	0
r_0078	xylitol:NAD oxidoreductase	KLMA_70044	Pentose and glucuronate interconversions	0	0	0	0	0	0	0	0	0	0	0	0
r_0079	ATP:D-xylulose 5-phosphotransferase	KLMA_40133	Pentose and glucuronate interconversions	0	0	0	0	-0	0	0	0	0	0	0	0
r_0080	D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase	KLMA_40388	Fructose and mannose metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0081	ATP:D-fructose 6-phosphotransferase	KLMA_60412	Fructose and mannose metabolism	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
r_0082	D-Glucitol:NAD+ 2-oxidoreductase	KLMA_70044	Fructose and mannose metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0083	GTP:alpha-D-mannose-1-phosphate guanylyltransferase	KLMA_70082	Fructose and mannose metabolism	0.0888506964098832	0.0723810389438824	0.0779773995	0.078757173495	0.057100048883894	0.0779773995	0.078757173495	0.057100048883894	0.0519012226838099	0.078757173495	0.057100048883894	0.0434328652080948
r_0084	ATP:D-mannose 6-phosphotransferase	KLMA_60412	Fructose and mannose metabolism	0	0	0	0	-0	0	0	0	0	0	0	0
r_0085	D-Mannose 6-phosphate 1,6-phosphomutase	KLMA_70034	Fructose and mannose metabolism	0.0888506964098832	0.0723810389438824	0.0779773995	0.078757173495	0.057100048883894	0.0779773995	0.078757173495	0.057100048883894	0.0519012226838099	0.078757173495	0.057100048883894	0.0434328652080948
r_0086	D-mannose-6-phosphate aldose-ketose-isomerase	KLMA_50384	Fructose and mannose metabolism	-0.0888506964098832	-0.0723810389438824	-0.0779773995	-0.078757173495	-0.057100048883894	-0.0779773995	-0.078757173495	-0.057100048883894	-0.0519012226838099	-0.078757173495	-0.057100048883894	-0.0434328652080948
r_0087	L-Fuculose-1-phosphate lactaldehyde-lyase	KLMA_30086	Fructose and mannose metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0088	D-Fructose-2,6-bisphosphate 2-phosphohydrolase	KLMA_50258 or KLMA_50193	Fructose and mannose metabolism	-0	0	0	-0	0	0	-0	0	0	-0	0	0
r_0089	ATP:D-fructose-6-phosphate 2-phosphotransferase	KLMA_50193 or KLMA_80153 or KLMA_70159	Fructose and mannose metabolism	-0	0	0	-0	0	0	-0	0	0	-0	0	0
r_0090	GDP-alpha-D-mannose[c]<=>GDP[c]+mannan[c]	KLMA_10707 or KLMA_80049	Fructose and mannose metabolism	0.0888506964098832	0.0723810389438824	0.0779773995	0.078757173495	0.057100048883894	0.0779773995	0.078757173495	0.057100048883894	0.0519012226838099	0.078757173495	0.057100048883894	0.0434328652080948
r_0091	D-Mannitol:NAD+ 2-oxidoreductase	KLMA_70044	Fructose and mannose metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0092	UDP-glucose 4-epimerase	KLMA_20332	Galactose metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0093	UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase	KLMA_20331	Galactose metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0094	ATP:D-galactose 1-phosphotransferase	KLMA_20333	Galactose metabolism	0	0	0	0	-0	0	0	0	0	0	0	0
r_0095	Lactose galactohydrolase	KLMA_30009	Galactose metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0096	Raffinose fructohydrolase	KLMA_10518	Galactose metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0097	ATP:D-tagatose-6-phosphate 1-phosphotransferase	KLMA_60461 and KLMA_10341	Galactose metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0098	inulin uptake (kestose hydrolysis)	KLMA_10518	Galactose metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0099	ascorbate[c]<=>L-xylo-hexulonolactone[c]	KLMA_70261	Ascorbate and aldarate metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0100	L-gulono-1,4-lactone:oxygen 2-oxidoreductase	KLMA_70261	Ascorbate and aldarate metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0101	myo-Inositol:oxygen oxidoreductase	KLMA_20050	Ascorbate and aldarate metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0102	Dextrin 6-alpha-D-glucanohydrolase	KLMA_40472	Starch and sucrose metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0103	cellobiose glucohydrolase	KLMA_30011	Starch and sucrose metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0104	cellobiose glucohydrolase	KLMA_30011	Starch and sucrose metabolism	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
r_0105	sucrose alpha-glucohydrolase	KLMA_10518	Starch and sucrose metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0106	UDPglucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase	KLMA_80317 or KLMA_20023 or KLMA_20074	Starch and sucrose metabolism	-0	0.00261299071361636	0	-0	0	0	-0	0	0	-0	0	0
r_0107	Trehalose-6-phosphate phosphohydrolase	KLMA_20023	Starch and sucrose metabolism	0.00320755198530875	0.00261299071361636	0.002815020846	0.00284317105446	0.0020613395394384	0.002815020846	0.00284317105446	0.0020613395394384	0.00187365858216153	0.00284317105446	0.0020613395394384	0.00156794688905078
r_0108	ATP:D-fructose 6-phosphotransferase	KLMA_60412	Starch and sucrose metabolism	0	0	0	-0	-0	-0	0	0	0	0	-0	0
r_0109	UDPglucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase	KLMA_80317 or KLMA_20023 or KLMA_20074	Starch and sucrose metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0110	UDP-D-glucose[c] => amylose[c]+UDP[c]	KLMA_30370	Starch and sucrose metabolism	-0	0.0571716070941192	0.0622875327503524	-0	0.0456800890616653	0.0622003894170688	-0	0.0456800890616653	0.0413854311789801	-0	0.0456800890616653	0.0346710266576539
r_0111	(1->3)-beta-D-glucan[c]+H2O[c] => alpha-D-glucose[c]	KLMA_80185 or KLMA_10234 or KLMA_40105	Starch and sucrose metabolism	-0	0	-0	-0	0	-0	-0	0	1.11480410596465	-0	0	-0
r_0112	UDP-D-glucose[c]<=>(1->3)-beta-D-glucan[c]+UDP[c]	KLMA_50197 or KLMA_30497 or KLMA_80197	Starch and sucrose metabolism	0.169856866656357	0.138371492737449	0.14907026376	0.1505609663976	0.109158684577206	0.14907026376	0.1505609663976	0.109158684577206	1.21402425186016	0.1505609663976	0.109158684577206	0.083031092520894
r_0113	NADH:ferricytochrome-b5 oxidoreductase	KLMA_40343 or KLMA_20468 or KLMA_70262	Amino sugar and nucleotide sugar metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0114	UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase	KLMA_20643	Amino sugar and nucleotide sugar metabolism	0.00784508409556903	0.00639090176670224	0.006885024894	0.00695387514294	0.005041662963332	0.006885024894	0.00695387514294	0.005041662963332	0.00458262538246186	0.00695387514294	0.005041662963332	0.00383491062914299
r_0115	UDP-N-acetyl-D-glucosamine 4-epimerase	KLMA_20332	Amino sugar and nucleotide sugar metabolism	0	0	0	0	0	0	0	0	0	0	0	0
r_0116	D-glucosamine-6-phosphate aminohydrolase (ketol isomerizing);		Amino sugar and nucleotide sugar metabolism	-0.00784508409556903	-0.00639090176670224	-0.006885024894	-0.00695387514294	-0.005041662963332	-0.006885024894	-0.00695387514294	-0.005041662963332	-0.00458262538246186	-0.00695387514294	-0.005041662963332	-0.00383491062914299
