OG..	S.cer	K.marx	Y.lipo
OG0002908	YKL077W	KLMA_60185	YALI0D26554g
OG0002049	YLR084C	KLMA_40131	YALI0A04609g
OG0002589	YBR255W	KLMA_50463	YALI0E03564g
OG0003380	YBR135W	KLMA_70211	YALI0F18700g
OG0002561	YOR017W	KLMA_50414	YALI0B13222g
OG0002083	YOR164C	KLMA_40185	YALI0D14344g
OG0000647	YEL027W	KLMA_10717	YALI0F24475g
OG0002181	YMR020W	KLMA_40378	YALI0B23430g
OG0001502	YOR216C	KLMA_20803	YALI0B18634g
OG0001942	YFR041C	KLMA_30690	YALI0F11891g
OG0001850	YHR063C	KLMA_30545	YALI0F20900g
OG0001693	YDR097C	KLMA_30293	YALI0F26499g
OG0003373	YGR082W	KLMA_70202	YALI0A07084g
OG0002851	YMR236W	KLMA_60290	YALI0E23133g
OG0000669	YLL036C	KLMA_10672	YALI0C03982g
OG0000671	YLL018C	KLMA_10670	YALI0D22264g
OG0001379	YOR128C	KLMA_20598	YALI0B23188g
OG0000764	YGR276C	KLMA_10503	YALI0B15400g
OG0000677	YBR025C	KLMA_10659	YALI0C03355g
OG0001571	YKL122C	KLMA_30095	YALI0A18942g
OG0003484	YPL050C	KLMA_70378	YALI0B12518g
OG0001815	YCR057C	KLMA_30493	YALI0B01078g
OG0002259	YHR194W	KLMA_40505	YALI0E01144g
OG0002314	YML015C	KLMA_40598	YALI0E17809g
OG0001479	YNL167C	KLMA_20754	YALI0C16863g
OG0000738	YEL012W	KLMA_10550	YALI0E12081g
OG0001492	YFL008W	KLMA_20777	YALI0E15620g
OG0003028	YEL058W	KLMA_80026	YALI0E29579g
OG0003093	YNL039W	KLMA_80135	YALI0E19382g
OG0003066	YGL150C	KLMA_80102	YALI0E09012g
OG0002822	YKL028W	KLMA_60336	YALI0F26367g
OG0002270	YKL185W	KLMA_40529	YALI0E16577g
OG0001449	YLR274W	KLMA_20703	YALI0A01353g
OG0002219	YML073C	KLMA_40443	YALI0E27830g
OG0003496	YNL288W	KLMA_70399	YALI0F03344g
OG0000792	YAR007C	KLMA_10451	YALI0E15642g
OG0001433	YLR001C	KLMA_20680	YALI0B08096g
OG0002248	YJR142W	KLMA_40487	YALI0E12397g
OG0003127	YGR284C	KLMA_80182	YALI0F02189g
OG0001080	YHR024C	KLMA_20087	YALI0F13409g
OG0002966	YOR035C	KLMA_60094	YALI0E21758g
OG0002537	YIR002C	KLMA_50375	YALI0C20933g
OG0000876	YOR281C	KLMA_10307	YALI0D13090g
OG0003123	YNL064C	KLMA_80173	YALI0F00880g
OG0000744	YOL023W	KLMA_10536	YALI0B21978g
OG0001089	YCR003W	KLMA_20108	YALI0C21109g
OG0001239	YOL032W	KLMA_20352	YALI0E32637g
OG0000979	YNL256W	KLMA_10126	YALI0A02541g
OG0002820	YBR291C	KLMA_60339	YALI0F26323g
OG0002323	YDR427W	KLMA_40609	YALI0E07183g
OG0002615	YLR138W	KLMA_50506	YALI0C00759g
OG0002958	YHR084W	KLMA_60112	YALI0E16236g
OG0002513	YMR189W	KLMA_50333	YALI0A09856g
OG0003464	YBL036C	KLMA_70343	YALI0C21934g
OG0000947	YOL057W	KLMA_10181	YALI0B19580g
OG0002240	YPR189W	KLMA_40477	YALI0F00286g
OG0003441	YBR251W	KLMA_70308	YALI0D01804g
OG0001382	YDR376W	KLMA_20603	YALI0B14839g
OG0001342	YIL042C	KLMA_20512	YALI0E19679g
OG0002370	YBR282W	KLMA_50086	YALI0A02849g
OG0001731	YBR160W	KLMA_30358	YALI0B10758g
OG0002664	YNL207W	KLMA_50591	YALI0F31383g
OG0001726	YBR156C	KLMA_30351	YALI0F13805g
OG0002451	YFR028C	KLMA_50227	YALI0E16038g
OG0001247	YOL051W	KLMA_20369	YALI0F03575g
OG0002183	YMR022W	KLMA_40380	YALI0B20911g
OG0001775	YDR294C	KLMA_30426	YALI0E28237g
OG0001951	YGL237C	KLMA_30699	YALI0F23111g
OG0001204	YFL031W	KLMA_20303	YALI0B12716g
OG0002522	YDR322C-A	KLMA_50351	YALI0E32164g
OG0003113	YIL112W	KLMA_80160	YALI0F00770g
OG0000951	YOL061W	KLMA_10176	YALI0B00836g
OG0002033	YGR158C	KLMA_40104	YALI0E06039g
OG0002015	YLR027C	KLMA_40083	YALI0F29337g
OG0002275	YKL189W	KLMA_40535	YALI0D01199g
OG0002934	YKL018W	KLMA_60149	YALI0F21263g
OG0002684	YNL229C	KLMA_50619	YALI0C03069g
OG0001183	YBR227C	KLMA_20274	YALI0B04158g
OG0003469	YBL032W	KLMA_70351	YALI0A18161g
OG0002508	YDL164C	KLMA_50322	YALI0F01034g
OG0002800	YPL190C	KLMA_60364	YALI0F23683g
OG0002358	YBR268W	KLMA_50070	YALI0F18150g
OG0001170	YML038C	KLMA_20252	YALI0E24959g
OG0003033	YOR006C	KLMA_80034	YALI0D19118g
OG0003361	YER061C	KLMA_70184	YALI0F30679g
OG0000932	YGR078C	KLMA_10206	YALI0B08844g
OG0003030	YOR004W	KLMA_80030	YALI0F26653g
OG0002767	YHR137W	KLMA_60423	YALI0C05258g
OG0001737	YFR016C	KLMA_30368	YALI0B21626g
OG0000740	YCR017C	KLMA_10548	YALI0E33473g
OG0000916	YOR188W	KLMA_10232	YALI0F29227g
OG0001447	YLR310C	KLMA_20701	YALI0D22286g
OG0002752	YLR452C	KLMA_60443	YALI0D18018g
OG0002004	YLR039C	KLMA_40065	YALI0A01397g
OG0000766	YMR296C	KLMA_10498	YALI0C03179g
OG0000652	YEL032W	KLMA_10709	YALI0F21945g
OG0002599	YIL021W	KLMA_50478	YALI0F05566g
OG0002053	YLR087C	KLMA_40136	YALI0E09867g
OG0001469	YNL181W	KLMA_20740	YALI0D06061g
OG0002565	YGR090W	KLMA_50424	YALI0E31625g
OG0002103	YJL111W	KLMA_40234	YALI0C20999g
OG0001764	YDR284C	KLMA_30412	YALI0B14531g
OG0001654	YJL004C	KLMA_30228	YALI0B18656g
OG0001770	YHR040W	KLMA_30419	YALI0E11363g
OG0002521	YDR322W	KLMA_50350	YALI0E32153g
OG0002330	YOR368W	KLMA_50007	YALI0F06204g
OG0003115	YIL115C	KLMA_80164	YALI0E01276g
OG0001626	YHR086W	KLMA_30191	YALI0D04917g
OG0000729	YNL138W-A	KLMA_10570	YALI0A16566g
OG0001705	YLL021W	KLMA_30309	YALI0F16665g
OG0000987	YGR048W	KLMA_10112	YALI0E26235g
OG0000937	YDL015C	KLMA_10196	YALI0A04983g
OG0002526	YHR078W	KLMA_50355	YALI0B16478g
OG0001823	YGR081C	KLMA_30507	YALI0B02970g
OG0002847	YFL026W	KLMA_60295	YALI0F03905g
OG0002317	YDR432W	KLMA_40602	YALI0D05547g
OG0000957	YDR484W	KLMA_10166	YALI0F07381g
OG0003074	YDL122W	KLMA_80111	YALI0C02717g
OG0002511	YMR190C	KLMA_50331	YALI0F31977g
OG0001485	YNL142W	KLMA_20766	YALI0E27203g
OG0001976	YCR094W	KLMA_40021	YALI0F02475g
OG0000673	YGR074W	KLMA_10667	YALI0A04961g
OG0002912	YKL078W	KLMA_60179	YALI0B11968g
OG0001936	YER036C	KLMA_30677	YALI0D22803g
OG0002148	YMR036C	KLMA_40317	YALI0C06460g
OG0001199	YGL192W	KLMA_20298	YALI0B03498g
OG0001302	YLL023C	KLMA_20457	YALI0D23617g
OG0001714	YPL178W	KLMA_30329	YALI0E29293g
OG0001432	YMR165C	KLMA_20679	YALI0D27016g
OG0002058	YDR117C	KLMA_40145	YALI0D12727g
OG0002607	YLR130C	KLMA_50489	YALI0F21659g
OG0003114	YNL054W	KLMA_80162	YALI0F01738g
OG0002552	YEL009C	KLMA_50398	YALI0E27742g
OG0003503	YPR022C	KLMA_70408	YALI0C05995g
OG0002476	YOL097C	KLMA_50269	YALI0B08943g
OG0002505	YDL165W	KLMA_50318	YALI0B22968g
OG0002867	YHR122W	KLMA_60262	YALI0B14707g
OG0002720	YDL183C	KLMA_60496	YALI0D12474g
OG0003192	YBR114W	KLMA_80298	YALI0F01232g
OG0001899	YKR008W	KLMA_30620	YALI0E32307g
OG0001686	YEL040W	KLMA_30283	YALI0B15510g
OG0002971	YJR019C	KLMA_60086	YALI0F14729g
OG0003153	YOR101W	KLMA_80228	YALI0E08756g
OG0001988	YGR003W	KLMA_40036	YALI0B03520g
OG0001953	YGL240W	KLMA_30701	YALI0E07117g
OG0001841	YDR231C	KLMA_30532	YALI0C09350g
OG0003466	YBL035C	KLMA_70346	YALI0E18832g
OG0000601	YBR179C	KLMA_10794	YALI0F08899g
OG0000668	YLL018C-A	KLMA_10675	YALI0E34540g
OG0001477	YHR144C	KLMA_20752	YALI0C23210g
OG0001499	YPL132W	KLMA_20798	YALI0E10065g
OG0002699	YIL125W	KLMA_60541	YALI0E33517g
OG0001263	YNR036C	KLMA_20395	YALI0A03003g
OG0001419	YML093W	KLMA_20662	YALI0D13464g
OG0003324	YBL107C	KLMA_70128	YALI0C06600g
OG0001985	YLR318W	KLMA_40031	YALI0D12188g
OG0001587	YLR115W	KLMA_30130	YALI0C23232g
OG0001554	YKL003C	KLMA_30068	YALI0E00220g
OG0003081	YNL032W	KLMA_80121	YALI0D07414g
OG0001834	YDL207W	KLMA_30521	YALI0B01870g
OG0000950	YDL025C	KLMA_10177	YALI0B00880g
OG0001752	YNL081C	KLMA_30391	YALI0B06578g
OG0001618	YGR167W	KLMA_30180	YALI0E33253g
OG0001926	YDR421W	KLMA_30668	YALI0C18645g
OG0000640	YEL023C	KLMA_10724	YALI0A02893g
OG0001720	YMR196W	KLMA_30337	YALI0B02332g
OG0001743	YER163C	KLMA_30377	YALI0F26103g
OG0002930	YKL014C	KLMA_60153	YALI0B06875g
OG0003386	YPL233W	KLMA_70217	YALI0B04466g
OG0001386	YOR125C	KLMA_20608	YALI0E15224g
OG0001104	YLR248W	KLMA_20135	YALI0E13750g
OG0002985	YGR218W	KLMA_60065	YALI0F10098g
OG0001621	YDL006W	KLMA_30185	YALI0D22066g
OG0003075	YNL016W	KLMA_80112	YALI0C07040g
OG0001323	YNL003C	KLMA_20485	YALI0C19195g
OG0000648	YEL029C	KLMA_10714	YALI0A08668g
OG0002239	YPR188C	KLMA_40476	YALI0F12683g
OG0003204	YMR259C	KLMA_80327	YALI0B17754g
OG0000622	YPL072W	KLMA_10756	YALI0C11649g
OG0001747	YIL142W	KLMA_30384	YALI0F11473g
OG0003132	YMR308C	KLMA_80193	YALI0F14575g
OG0000970	YNL243W	KLMA_10141	YALI0C07502g
OG0001977	YCR093W	KLMA_40022	YALI0F23045g
OG0001914	YDR408C	KLMA_30650	YALI0D03069g
OG0001218	YOR307C	KLMA_20323	YALI0B10714g
OG0001115	YKL104C	KLMA_20155	YALI0B21428g
OG0001384	YDR375C	KLMA_20605	YALI0D03509g
OG0000793	YGL003C	KLMA_10450	YALI0C18469g
OG0001396	YNL328C	KLMA_20626	YALI0C18733g
OG0000882	YDR400W	KLMA_10297	YALI0F03597g
OG0003303	YBL041W	KLMA_70092	YALI0D06523g
OG0001562	YMR231W	KLMA_30081	YALI0E23408g
OG0001126	YBR073W	KLMA_20179	YALI0E24431g
OG0003108	YIL106W	KLMA_80152	YALI0D08580g
OG0002705	YNL073W	KLMA_60527	YALI0D23639g
OG0000966	YJL201W	KLMA_10151	YALI0B19052g
OG0002003	YMR131C	KLMA_40064	YALI0C16203g
OG0003013	YKR048C	KLMA_60023	YALI0B14487g
OG0003138	YNL085W	KLMA_80203	YALI0E04092g
OG0001345	YER048W-A	KLMA_20515	YALI0D12254g
OG0001227	YPR103W	KLMA_20340	YALI0B15224g
OG0002376	YOR340C	KLMA_50099	YALI0F06182g
OG0002062	YLR093C	KLMA_40152	YALI0B04026g
OG0001088	YCR009C	KLMA_20100	YALI0C08118g
OG0003210	YER087W	KLMA_80336	YALI0D15620g
OG0002889	YOR111W	KLMA_60231	YALI0F14201g
OG0001525	YJR074W	KLMA_30032	YALI0A21098g
OG0001755	YBR143C	KLMA_30394	YALI0F02453g
OG0001246	YAL016W	KLMA_20364	YALI0F00836g
OG0000892	YMR286W	KLMA_10276	YALI0C08723g
OG0002733	YCR047C	KLMA_60474	YALI0F06512g
OG0002896	YOR341W	KLMA_60209	YALI0F13783g
OG0003421	YLR455W	KLMA_70277	YALI0C02651g
OG0003526	YPR001W	KLMA_70444	YALI0E00638g
OG0002490	YMR226C	KLMA_50296	YALI0C07414g
OG0001096	YDR217C	KLMA_20118	YALI0E31273g
OG0000598	YPL097W	KLMA_10797	YALI0E29139g
OG0001340	YGR128C	KLMA_20508	YALI0F22759g
OG0003494	YNL290W	KLMA_70397	YALI0A02068g
OG0001364	YHR012W	KLMA_20560	YALI0E19987g
OG0001659	YAL020C	KLMA_30236	YALI0E32615g
OG0001259	YDL091C	KLMA_20390	YALI0D14784g
OG0001420	YML094W	KLMA_20663	YALI0D25740g
OG0002605	YLR129W	KLMA_50487	YALI0C00913g
OG0002848	YOR298W	KLMA_60293	YALI0B12254g
OG0002337	YPL115C	KLMA_50030	YALI0E07601g
OG0002348	YPL120W	KLMA_50047	YALI0D11968g
OG0001504	YOR212W	KLMA_20806	YALI0E01364g
OG0002597	YIL019W	KLMA_50476	YALI0F05170g
OG0003217	YER091C	KLMA_80348	YALI0E12683g
OG0001992	YGR005C	KLMA_40040	YALI0F15785g
OG0001221	YMR240C	KLMA_20329	YALI0D05577g
OG0002856	YOL065C	KLMA_60281	YALI0F12177g
OG0003267	YLR077W	KLMA_70032	YALI0D08602g
OG0001716	YPL252C	KLMA_30335	YALI0B02222g
OG0000961	YCR033W	KLMA_10160	YALI0B20262g
OG0002195	YOL132W	KLMA_40399	YALI0C06644g
OG0002624	YLR147C	KLMA_50523	YALI0A19030g
OG0001224	YPR100W	KLMA_20335	YALI0E11033g
OG0002392	YDR214W	KLMA_50124	YALI0B15840g
OG0002768	YNL153C	KLMA_60422	YALI0A01738g
OG0000691	YLR422W	KLMA_10630	YALI0B22484g
OG0002916	YKL082C	KLMA_60172	YALI0F04708g
OG0001349	YER044C	KLMA_20527	YALI0F04400g
OG0001401	YOL145C	KLMA_20631	YALI0A15686g
OG0002792	YDR246W	KLMA_60380	YALI0B22396g
OG0001633	YGR178C	KLMA_30201	YALI0B23232g
OG0000741	YCR015C	KLMA_10542	YALI0D17468g
OG0002814	YPL180W	KLMA_60345	YALI0E29359g
OG0002288	YPL217C	KLMA_40555	YALI0C21846g
OG0000789	YGL008C	KLMA_10457	YALI0B22066g
OG0001592	YGL198W	KLMA_30143	YALI0F15279g
OG0002806	YPL188W	KLMA_60357	YALI0E17963g
OG0002933	YKL017C	KLMA_60150	YALI0B06897g
OG0000787	YHR175W	KLMA_10463	YALI0E15796g
OG0001164	YGL105W	KLMA_20242	YALI0E03432g
OG0002902	YDR087C	KLMA_60197	YALI0D08668g
OG0002964	YDR258C	KLMA_60101	YALI0F12463g
OG0001373	YDR388W	KLMA_20579	YALI0D13706g
OG0001273	YGL099W	KLMA_20409	YALI0C21956g
OG0001864	YKL116C	KLMA_30563	YALI0D07150g
OG0003151	YOR100C	KLMA_80226	YALI0C02431g
OG0000761	YMR314W	KLMA_10507	YALI0C17325g
OG0001535	YJR068W	KLMA_30044	YALI0E10747g
OG0000713	YPR018W	KLMA_10597	YALI0F21637g
OG0000620	YPL076W	KLMA_10762	YALI0B14223g
OG0002579	YGR101W	KLMA_50443	YALI0B23364g
OG0003218	YER093C	KLMA_80350	YALI0F01056g
OG0002963	YDR328C	KLMA_60103	YALI0A10879g
OG0001048	YER142C	KLMA_20032	YALI0B14080g
OG0001154	YGL114W	KLMA_20226	YALI0E00968g
OG0001606	YJL096W	KLMA_30159	YALI0F08877g
OG0002418	YML060W	KLMA_50174	YALI0B12870g
OG0002459	YBR040W	KLMA_50236	YALI0A14069g
OG0000700	YLR425W	KLMA_10620	YALI0E12155g
OG0000774	YGR266W	KLMA_10486	YALI0E10549g
OG0002551	YIL005W	KLMA_50395	YALI0E02420g
OG0000809	YKR080W	KLMA_10419	YALI0B12078g
OG0001722	YDR318W	KLMA_30343	YALI0C24123g
OG0000637	YJR033C	KLMA_10727	YALI0C16709g
OG0002742	YMR203W	KLMA_60459	YALI0F31207g
OG0002400	YGR145W	KLMA_50140	YALI0A21197g
OG0000728	YNL138W	KLMA_10572	YALI0B10516g
OG0001118	YKL098W	KLMA_20160	YALI0E01958g
OG0003337	YER122C	KLMA_70147	YALI0D00693g
OG0002979	YGR210C	KLMA_60072	YALI0E20009g
OG0002311	YML018C	KLMA_40593	YALI0E22803g
OG0001103	YLR247C	KLMA_20133	YALI0C07150g
OG0000588	YPL107W	KLMA_10814	YALI0A18678g
OG0003044	YJR008W	KLMA_80058	YALI0C21450g
OG0003488	YIL143C	KLMA_70387	YALI0B11726g
OG0002830	YHL008C	KLMA_60323	YALI0E12947g
OG0003492	YNL292W	KLMA_70395	YALI0D25234g
OG0003425	YPR143W	KLMA_70284	YALI0C12881g
OG0003450	YOL026C	KLMA_70321	YALI0B13772g
OG0000837	YKL173W	KLMA_10387	YALI0A20768g
OG0001229	YPR105C	KLMA_20342	YALI0D03113g
OG0002929	YIR023W	KLMA_60155	YALI0D02783g
OG0001209	YLR055C	KLMA_20310	YALI0E23804g
OG0001558	YGR055W	KLMA_30073	YALI0F25795g
OG0001195	YGL040C	KLMA_20290	YALI0F20790g
OG0002075	YLR109W	KLMA_40173	YALI0E25091g
OG0001269	YGL103W	KLMA_20403	YALI0B21076g
OG0000815	YKR085C	KLMA_10410	YALI0B09075g
OG0003520	YFR006W	KLMA_70438	YALI0E13464g
OG0002042	YDR041W	KLMA_40120	YALI0F22935g
OG0001930	YGL213C	KLMA_30674	YALI0C20339g
OG0001673	YOR059C	KLMA_30260	YALI0B14124g
OG0001507	YOR211C	KLMA_20808	YALI0F10659g
OG0002113	YHR051W	KLMA_40253	YALI0E10144g
OG0002443	YKL094W	KLMA_50217	YALI0C14520g
OG0001491	YFL013C	KLMA_20773	YALI0F13167g
OG0001849	YHR062C	KLMA_30543	YALI0E26587g
OG0002706	YKL045W	KLMA_60526	YALI0F04576g
OG0002518	YPL243W	KLMA_50340	YALI0C18997g
OG0000591	YBR173C	KLMA_10809	YALI0E13145g
OG0001997	YGR013W	KLMA_40048	YALI0D00539g
OG0001007	YDR502C	KLMA_10079	YALI0B14509g
OG0002225	YLR405W	KLMA_40453	YALI0E26059g
OG0001679	YKR079C	KLMA_30271	YALI0A13057g
OG0002461	YDR017C	KLMA_50238	YALI0F14025g
OG0002351	YJL053W	KLMA_50060	YALI0D23793g
OG0003090	YNL022C	KLMA_80131	YALI0D09691g
OG0001778	YDR298C	KLMA_30431	YALI0D12584g
OG0002606	YJL153C	KLMA_50488	YALI0B04312g
OG0001408	YMR161W	KLMA_20645	YALI0D02002g
OG0001549	YHL004W	KLMA_30062	YALI0F12991g
OG0001440	YLR016C	KLMA_20692	YALI0D07348g
OG0001609	YJL090C	KLMA_30165	YALI0E21978g
OG0001190	YGL044C	KLMA_20285	YALI0E09174g
OG0001865	YKL114C	KLMA_30564	YALI0C12144g
OG0000820	YOR079C	KLMA_10404	YALI0D19008g
OG0003036	YML001W	KLMA_80039	YALI0F19602g
OG0002949	YDR004W	KLMA_60126	YALI0F10307g
OG0001903	YLR354C	KLMA_30634	YALI0F15587g
OG0001511	YPL125W	KLMA_20812	YALI0B00198g
OG0002942	YOL076W	KLMA_60135	YALI0B11836g
OG0001894	YGL169W	KLMA_30612	YALI0E09449g
OG0002645	YLR168C	KLMA_50562	YALI0D18854g
OG0000840	YKL178C	KLMA_10382	YALI0F11913g
OG0003468	YBL033C	KLMA_70349	YALI0E02288g
OG0001179	YBR230C	KLMA_20269	YALI0E14487g
OG0002073	YLR106C	KLMA_40168	YALI0B08338g
OG0001968	YMR315W	KLMA_40010	YALI0D10659g
OG0002536	YER008C	KLMA_50374	YALI0F21681g
OG0003517	YFR007W	KLMA_70432	YALI0E13321g
OG0001377	YOR130C	KLMA_20591	YALI0D06798g
OG0000603	YPL093W	KLMA_10791	YALI0B00990g
OG0001683	YEL043W	KLMA_30279	YALI0A12287g
OG0002204	YOR271C	KLMA_40419	YALI0B16060g
OG0002096	YOL087C	KLMA_40223	YALI0D06435g
OG0003014	YKR043C	KLMA_60019	YALI0D09229g
OG0001427	YMR171C	KLMA_20670	YALI0A18898g
OG0002809	YGL092W	KLMA_60350	YALI0D17886g
OG0001583	YKL138C	KLMA_30120	YALI0E01914g
OG0003508	YER127W	KLMA_70415	YALI0E10439g
OG0000685	YLR419W	KLMA_10639	YALI0C02365g
OG0002284	YGL131C	KLMA_40550	YALI0E30547g
OG0001413	YMR156C	KLMA_20655	YALI0E29051g
OG0002011	YMR125W	KLMA_40076	YALI0A13101g
OG0002038	YBR060C	KLMA_40113	YALI0D22330g
OG0001288	YER154W	KLMA_20433	YALI0F32021g
OG0002157	YPL011C	KLMA_40329	YALI0F13233g
OG0001565	YOR296W	KLMA_30085	YALI0C01045g
OG0002991	YHR150W	KLMA_60057	YALI0D11858g
OG0002525	YDR323C	KLMA_50354	YALI0E21824g
OG0002415	YML067C	KLMA_50165	YALI0A17600g
OG0001541	YJR062C	KLMA_30051	YALI0D21978g
OG0001957	YGL244W	KLMA_30706	YALI0D01892g
OG0001230	YGR086C	KLMA_20343	YALI0C11341g
OG0003268	YFL046W	KLMA_70033	YALI0D13134g
OG0001991	YLR325C	KLMA_40039	YALI0B11308g
OG0003291	YLR384C	KLMA_70073	YALI0F20658g
OG0002738	YNR015W	KLMA_60468	YALI0F29205g
OG0000954	YDL028C	KLMA_10172	YALI0F07557g
OG0001207	YLR056W	KLMA_20308	YALI0D20878g
OG0000706	YOR289W	KLMA_10613	YALI0E20141g
OG0001057	YGL026C	KLMA_20046	YALI0F24893g
OG0003040	YMR281W	KLMA_80045	YALI0E21934g
OG0003023	YPL268W	KLMA_80018	YALI0C04180g
OG0002771	YMR015C	KLMA_60417	YALI0A18062g
OG0002880	YNL118C	KLMA_60245	YALI0C13310g
OG0002043	YBR061C	KLMA_40121	YALI0F16049g
OG0001570	YKL120W	KLMA_30093	YALI0E04048g
OG0001181	YBR229C	KLMA_20272	YALI0B06600g
OG0003460	YPR047W	KLMA_70339	YALI0C18535g
OG0002967	YDR266C	KLMA_60092	YALI0C00957g
OG0000704	YOR150W	KLMA_10615	YALI0D10065g
OG0000834	YJL166W	KLMA_10390	YALI0F01771g
OG0000995	YOR154W	KLMA_10099	YALI0C12430g
OG0001863	YMR099C	KLMA_30562	YALI0D07084g
OG0002235	YPR183W	KLMA_40471	YALI0D06281g
OG0001253	YDL086W	KLMA_20377	YALI0C20625g
OG0000748	YFR010W	KLMA_10531	YALI0D02871g
OG0003305	YJR113C	KLMA_70097	YALI0D08470g
OG0001827	YDR245W	KLMA_30512	YALI0E25894g
OG0001563	YMR232W	KLMA_30082	YALI0F13673g
OG0003397	YDL146W	KLMA_70232	YALI0C22462g
OG0002145	YMR039C	KLMA_40311	YALI0E28897g
OG0001896	YGL163C	KLMA_30615	YALI0B07513g
OG0003302	YBL040C	KLMA_70091	YALI0D06545g
OG0002546	YIL001W	KLMA_50388	YALI0D10087g
OG0001125	YDR105C	KLMA_20175	YALI0A09064g
OG0002644	YLR167W	KLMA_50559	YALI0F09790g
OG0000625	YPL069C	KLMA_10752	YALI0D17050g
OG0000650	YJR045C	KLMA_10712	YALI0C17347g
OG0001234	YAL009W	KLMA_20347	YALI0D03091g
OG0003094	YNL038W	KLMA_80136	YALI0E29953g
